timestamp,actual,xgboost,prophet_residual_correction,hybrid,xgboost_residual,hybrid_residual
2024-12-02 10:00:00,60150.0,59979.89,3.4817134215730974,59983.37233842157,170.109375,166.62766157842998
2024-12-02 11:00:00,69928.0,69680.59,1.6990997518659081,69682.29284975186,247.40625,245.70715024814126
2024-12-02 12:00:00,69592.0,69553.69,2.487960746011612,69556.17546074602,38.3125,35.82453925398295
2024-12-02 13:00:00,58303.0,57970.664,6.765897897245848,57977.42996039725,332.3359375,325.57003960275324
2024-12-02 14:00:00,39900.0,40003.953,11.92707587217632,40015.880200872176,-103.953125,-115.88020087217592
2024-12-02 15:00:00,21518.0,21331.205,13.995558824297722,21345.2006369493,186.794921875,172.79936305070078
2024-12-02 16:00:00,7972.0,8078.094,11.552875117108407,8089.647113398359,-106.09423828125,-117.64711339835867
2024-12-02 17:00:00,410.0,413.35156,7.407286885496921,420.75884938549694,-3.3515625,-10.758849385496944
2024-12-03 05:00:00,1288.0,1240.737,7.262484472056678,1247.9995450189317,47.262939453125,40.00045498106829
2024-12-03 06:00:00,12977.000000000002,12995.562,2.2147229856771435,12997.776246423176,-18.56152343749818,-20.776246423174598
2024-12-03 07:00:00,30367.0,29791.346,-0.40150561800668116,29790.944197506993,575.654296875,576.0558024930069
2024-12-03 08:00:00,48790.0,48867.113,-0.5008289699929094,48866.61245228001,-77.11328125,-76.61245228000917
2024-12-03 09:00:00,66447.0,66514.9,-0.5234033742148885,66514.37503412578,-67.8984375,-67.37503412578371
2024-12-03 10:00:00,81728.0,81847.734,-2.0738226386761345,81845.66055236133,-119.734375,-117.66055236132524
2024-12-03 11:00:00,86283.0,86674.164,-3.819470915734606,86670.34459158426,-391.1640625,-387.34459158426034
2024-12-03 12:00:00,87800.0,87854.59,-2.932290580118592,87851.66145941988,-54.59375,-51.66145941987634
2024-12-03 13:00:00,72720.0,72505.3,1.503677525470549,72506.80055252547,214.703125,213.19944747452973
2024-12-03 14:00:00,54090.0,54325.38,6.880232549415818,54332.25913879942,-235.37890625,-242.259138799418
2024-12-03 15:00:00,31815.0,31580.059,9.218378005260103,31589.276971755262,234.94140625,225.7230282447381
2024-12-03 16:00:00,12078.0,11862.6045,7.095923189709045,11869.700415377209,215.3955078125,208.29958462279137
2024-12-03 17:00:00,657.0,664.0412,3.3167976182217127,667.3579963486904,-7.04119873046875,-10.357996348690449
2024-12-04 05:00:00,2205.0,2120.9778,9.03730852631108,2130.015091729436,84.022216796875,74.98490827056412
2024-12-04 06:00:00,21423.0,21390.592,4.403104341336771,21394.994901216338,32.408203125,28.005098783662106
2024-12-04 07:00:00,45365.0,45408.6,2.1600176242561355,45410.76158012426,-43.6015625,-45.76158012425731
2024-12-04 08:00:00,67203.0,66929.96,2.3885153052128683,66932.34945280521,273.0390625,270.6505471947894
2024-12-04 09:00:00,86470.0,86467.94,2.6440977997247166,86470.58159779973,2.0625,-0.5815977997262962
2024-12-04 10:00:00,97065.0,96587.56,1.3184437020600472,96588.88094370205,477.4375,476.1190562979464
2024-12-04 11:00:00,95950.0,95578.125,-0.25889710614018124,95577.86610289387,371.875,372.1338971061341
2024-12-04 12:00:00,87245.0,87603.445,0.7377664709534404,87604.18307897095,-358.4453125,-359.1830789709493
2024-12-04 13:00:00,71897.0,71962.74,5.222755689796069,71967.9649431898,-65.7421875,-70.96494318979967
2024-12-04 14:00:00,58035.0,57701.57,10.586980644856938,57712.15729314485,333.4296875,322.8427068551464
2024-12-04 15:00:00,35085.0,34560.105,12.851315639222838,34572.95678438922,524.89453125,512.0432156107781
2024-12-04 16:00:00,13635.0,13352.113,10.594202237018767,13362.707483487018,282.88671875,272.2925165129818
2024-12-04 17:00:00,745.0,762.0294,6.620955962258549,768.6503749075711,-17.0294189453125,-23.650374907571063
2024-12-05 05:00:00,1888.0,1854.7141,6.765465915483174,1861.4795772436082,33.285888671875,26.52042275639178
2024-12-05 06:00:00,18825.0,18784.969,1.566414078157909,18786.53516407816,40.03125,38.46483592184086
2024-12-05 07:00:00,40825.0,40322.742,-1.2262471698925292,40321.51594033011,502.2578125,503.4840596698923
2024-12-05 08:00:00,62138.0,62376.883,-1.5254664124255255,62375.35734608758,-238.8828125,-237.35734608757775
2024-12-05 09:00:00,81112.0,80965.5,-1.7694177604775234,80963.73058223953,146.5,148.2694177604717
2024-12-05 10:00:00,90450.0,90294.69,-3.5604329812115907,90291.1270670188,155.3125,158.87293298120494
2024-12-05 11:00:00,94890.0,94879.695,-5.563380952603659,94874.1319315474,10.3046875,15.868068452604348
2024-12-05 12:00:00,91497.0,91723.81,-4.947465144701963,91718.86503485529,-226.8125,-221.86503485529101
2024-12-05 13:00:00,77928.0,77447.72,-0.7937960954633541,77446.92495390454,480.28125,481.0750460954587
2024-12-05 14:00:00,59822.0,59668.773,4.292512584403508,59673.065950084405,153.2265625,148.9340499155951
2024-12-05 15:00:00,38267.0,38122.93,6.335672309271295,38129.26535980927,144.0703125,137.73464019072708
2024-12-05 16:00:00,15662.0,15383.15,3.9167832884913514,15387.06717391349,278.849609375,274.9328260865095
2024-12-05 17:00:00,894.9999999999999,883.8096,-0.15688959833435767,883.6526807141656,11.190429687499886,11.34731928583426
2024-12-06 05:00:00,1817.0,1843.5992,3.2860774117093237,1846.8853205757719,-26.5992431640625,-29.885320575771857
2024-12-06 06:00:00,17725.0,17747.46,-1.3616394206798894,17746.09929807932,-22.4609375,-21.09929807931985
2024-12-06 07:00:00,37560.0,37345.016,-3.584838866570399,37341.43078613343,214.984375,218.56921386656904
2024-12-06 08:00:00,56500.0,56569.117,-3.302931961949274,56565.81425553805,-69.1171875,-65.81425553804729
2024-12-06 09:00:00,82612.0,82421.5,-2.960644146430515,82418.53935585357,190.5,193.4606441464275
2024-12-06 10:00:00,92105.0,91721.266,-4.166865677083157,91717.09875932292,383.734375,387.901240677078
2024-12-06 11:00:00,95230.0,94892.375,-5.592949543424252,94886.78205045658,337.625,343.21794954342477
2024-12-06 12:00:00,88938.0,89017.95,-4.414428604525261,89013.53869639548,-79.953125,-75.53869639548066
2024-12-06 13:00:00,75545.0,75053.42,0.28149006940615395,75053.7033650694,491.578125,491.2966349305934
2024-12-06 14:00:00,58247.0,57977.164,5.88390414346904,57983.04796664347,269.8359375,263.9520333565306
2024-12-06 15:00:00,35688.0,35270.984,8.411614937488102,35279.39598993749,417.015625,408.6040100625105
2024-12-06 16:00:00,13897.999999999998,13825.007,6.440757012129529,13831.44759294963,72.99316406249818,66.55240705036886
2024-12-06 17:00:00,818.0,827.737,2.7741340293002326,830.511133541019,-9.73699951171875,-12.511133541019035
