timestamp,actual,xgboost,random_forest,gradient_boost,weighted_ensemble
2024-12-05 09:00:00,81112.0,80965.5,81104.96563239537,81092.06322525909,81102.4383875164
2024-12-05 10:00:00,90450.0,90294.69,90475.74668434338,90352.39067098557,90462.68009925124
2024-12-05 11:00:00,94890.0,94879.695,94878.32196608945,94886.0759019818,94879.04694502571
2024-12-05 12:00:00,91497.0,91723.81,91465.35526190477,91569.07137878411,91477.36430305576
2024-12-05 13:00:00,77928.0,77447.72,77889.56039682537,77840.32005084076,77880.78605104398
2024-12-05 14:00:00,59822.0,59668.773,59808.36375829726,59729.55539535748,59799.78562342258
2024-12-05 15:00:00,38267.0,38122.93,38266.604936507945,38245.585836363025,38263.29210412129
2024-12-05 16:00:00,15662.0,15383.15,15647.524138888892,15597.51710924905,15640.388233586058
2024-12-05 17:00:00,894.9999999999999,883.8096,894.0251215728714,919.9707391111305,896.3083770571267
2024-12-06 05:00:00,1817.0,1843.5992,1801.5119502164503,1761.4788426711539,1798.2424542509311
