timestamp,actual,xgboost,lightgbm,random_forest,gradient_boost,ensemble
2024-12-03 09:00:00,66447.0,66514.9,66475.0847418863,66464.72036832612,66291.30166820134,66647.90884552231
2024-12-03 10:00:00,81728.0,81847.734,81779.6370021425,81687.09874999996,81659.41869987999,81700.87172968558
2024-12-03 11:00:00,86283.0,86674.164,85983.3061767009,86262.88754581528,86225.56423174433,86199.8329718698
2024-12-03 12:00:00,87800.0,87854.59,87926.0119848495,87776.47098809523,87729.13836913352,87865.50697958046
2024-12-03 13:00:00,72720.0,72505.3,72103.04855892516,72736.11498809523,72705.43784355212,72771.91560053147
2024-12-03 14:00:00,54090.0,54325.38,54132.582086164446,54085.54633333334,54071.59931157629,53804.74935096284
2024-12-03 15:00:00,31815.0,31580.059,31567.939006939705,31828.76567857143,31826.86484923885,31868.767976478684
2024-12-03 16:00:00,12078.0,11862.6045,11829.158671335876,12089.972922799421,12121.529282179035,12332.582945336297
2024-12-03 17:00:00,657.0,664.0412,672.5225387488333,656.1717352092352,650.8320216701728,886.577649999864
2024-12-04 05:00:00,2205.0,2120.9778,2032.0381354175702,2191.039243145743,2196.8430441327414,2369.636356069625
2024-12-04 06:00:00,21423.0,21390.592,21361.016895511708,21401.189373015877,21332.807412906175,21557.89499942908
2024-12-04 07:00:00,45365.0,45408.6,45268.779775980496,45375.11327417026,45370.40701753496,45420.40196893943
2024-12-04 08:00:00,67203.0,66929.96,67075.47166221209,67196.08053174603,67135.07901050721,66963.40214799938
2024-12-04 09:00:00,86470.0,86467.94,85076.82378106023,86571.64016575093,86489.26181885252,86344.36799788389
2024-12-04 10:00:00,97065.0,96587.56,95930.53348490784,97053.69629617606,97003.48208881951,96908.55785065742
2024-12-04 11:00:00,95950.0,95578.125,95578.05588828458,96010.29339285716,95754.12205655944,95734.66099477613
2024-12-04 12:00:00,87245.0,87603.445,87038.01202070313,87289.06219444444,87331.81407425125,86736.38858630609
2024-12-04 13:00:00,71897.0,71962.74,71459.91562896098,71913.70385714286,71888.91545716776,71779.31533650312
2024-12-04 14:00:00,58035.0,57701.57,57449.36510767886,58022.51385714286,57957.1923789253,58072.05727899126
2024-12-04 15:00:00,35085.0,34560.105,34767.53229592397,35070.54328174604,35083.68282066384,35136.329315529954
2024-12-04 16:00:00,13635.0,13352.113,13055.999308787215,13625.088146825397,13697.54642611016,13879.267809233806
2024-12-04 17:00:00,745.0,762.0294,679.668730132988,742.6967896825397,738.698424842457,936.6241985893853
2024-12-05 05:00:00,1888.0,1854.7141,1851.8821077342598,1876.4159999999997,1900.4063844337938,2062.619025150187
2024-12-05 06:00:00,18825.0,18784.969,19090.303466995305,18824.10528860029,18803.46644382987,18734.252987664197
2024-12-05 07:00:00,40825.0,40322.742,40270.70866052452,40837.220273809515,40838.51729392679,40870.69615199159
2024-12-05 08:00:00,62138.0,62376.883,62225.34947157297,62129.370587662364,62140.31763709918,61917.92143329737
2024-12-05 09:00:00,81112.0,80965.5,80595.33151326617,81104.96563239537,81092.06322525909,80393.11884145957
2024-12-05 10:00:00,90450.0,90294.69,89727.22356603763,90475.74668434338,90352.39067098557,90515.74959236824
2024-12-05 11:00:00,94890.0,94879.695,94251.93344824859,94878.32196608945,94886.0759019818,94192.68816288476
2024-12-05 12:00:00,91497.0,91723.81,91829.82930497505,91465.35526190474,91569.07137878411,90951.09036484812
2024-12-05 13:00:00,77928.0,77447.72,77059.33786433472,77889.56039682539,77840.32005084076,77688.95243753126
2024-12-05 14:00:00,59822.0,59668.773,58760.241928132746,59808.36375829726,59729.55539535748,59645.425356172644
2024-12-05 15:00:00,38267.0,38122.93,37605.303898310696,38266.604936507945,38245.585836363025,38449.66588018779
2024-12-05 16:00:00,15662.0,15383.15,15392.544205935543,15647.524138888892,15597.51710924905,15835.974192584757
2024-12-05 17:00:00,894.9999999999999,883.8096,740.1977682575821,894.0251215728714,919.9707391111305,1109.9440557544297
2024-12-06 05:00:00,1817.0,1843.5992,1842.958531608699,1801.5119502164503,1761.4788426711539,1861.0342619738954
2024-12-06 06:00:00,17725.0,17747.46,17614.06897899078,17705.56103571429,17693.85027250435,17733.996227151707
2024-12-06 07:00:00,37560.0,37345.016,37856.116691008865,37565.626267676766,37540.28110819787,37525.43964620142
2024-12-06 08:00:00,56500.0,56569.117,56651.43736095962,56495.5562936508,56419.38305349547,56448.52469729958
2024-12-06 09:00:00,82612.0,82421.5,82305.96631148767,82603.56376587301,82706.49973668228,82507.57837664845
2024-12-06 10:00:00,92105.0,91721.266,92064.58158441515,92095.06416666668,92201.3813581819,91968.25924710474
2024-12-06 11:00:00,95230.0,94892.375,95205.56352469859,95225.32774242421,95202.61637658461,95165.91476505608
2024-12-06 12:00:00,88938.0,89017.95,88876.47924299944,88936.90159126984,88940.09119312832,88474.17564543216
2024-12-06 13:00:00,75545.0,75053.42,74212.76805952472,75555.81666666664,75528.90648261415,75490.42536603531
2024-12-06 14:00:00,58247.0,57977.164,57453.60991954726,58224.28052092352,58296.64014132737,58210.57672910924
2024-12-06 15:00:00,35688.0,35270.984,35496.57078459187,35692.47650793651,35750.12545637818,35544.433095870656
2024-12-06 16:00:00,13897.999999999998,13825.007,13537.979024887512,13877.750269841272,13889.524682836907,13944.531547626002
2024-12-06 17:00:00,818.0,827.737,740.7063753224827,818.4336904761902,805.9117894996382,1028.8379001081016
