timestamp,actual,prophet_predicted,hybrid_predicted,residuals
2024-12-03 13:00:00,72720.0,68862.65561527402,67895.93149418027,4824.068505819727
2024-12-03 14:00:00,54090.0,52717.83634856117,51258.284346608045,2831.715653391955
2024-12-03 15:00:00,31815.0,33583.32572570951,26717.96830383451,5097.03169616549
2024-12-03 16:00:00,12078.0,14889.800068247605,9780.876240122605,2297.123759877395
2024-12-03 17:00:00,657.0,1959.3437438029505,805.881707670138,-148.88170767013798
2024-12-04 05:00:00,2205.0,2042.8511590739072,216.86397645671968,1988.1360235432803
2024-12-04 06:00:00,21423.0,11945.229540500251,17009.5112787815,4413.4887212184985
2024-12-04 07:00:00,45365.0,29395.582202866393,41683.1320075539,3681.867992446103
2024-12-04 08:00:00,67203.0,48352.21419399658,64834.27278774658,2368.7272122534196
2024-12-04 09:00:00,86470.0,64955.490033789436,82998.61112753944,3471.388872460564
2024-12-04 10:00:00,97065.0,76573.14845773159,92580.25490304409,4484.745096955914
2024-12-04 11:00:00,95950.0,81211.25758237204,92598.01441830954,3351.98558169046
2024-12-04 12:00:00,87245.0,77921.24014854261,84060.52725791761,3184.472742082391
2024-12-04 13:00:00,71897.0,67285.81220986496,66805.15501382004,5091.84498617996
2024-12-04 14:00:00,58035.0,51144.402103635046,50838.90610143778,7196.09389856222
2024-12-04 15:00:00,35085.0,32021.149683605054,29041.11233008943,6043.887669910571
2024-12-04 16:00:00,13635.0,13346.348129803795,9739.475571210045,3895.524428789955
2024-12-04 17:00:00,745.0,441.65529505776794,-640.009988145357,1385.009988145357
2024-12-05 05:00:00,1888.0,1191.9134757008942,-432.1896737131683,2320.1896737131683
2024-12-05 06:00:00,18825.0,11162.627062902953,12020.585497961547,6804.414502038453
2024-12-05 07:00:00,40825.0,28680.778173897343,38094.94907233484,2730.0509276651574
2024-12-05 08:00:00,62138.0,47704.21324796601,57862.11461515351,4275.885384846493
2024-12-05 09:00:00,81112.0,64372.869653823866,78145.32277882387,2966.677221176127
2024-12-05 10:00:00,90450.0,76054.09260277697,88918.00275902697,1531.9972409730253
2024-12-05 11:00:00,94890.0,80753.59203416514,92618.78441697764,2271.2155830223637
2024-12-05 12:00:00,91497.0,77522.46909165675,89187.51596665675,2309.484033343251
2024-12-05 13:00:00,77928.0,66943.15559651585,71231.1648738596,6696.835126140402
2024-12-05 14:00:00,59822.0,50854.8333427534,53869.78768845653,5952.212311543473
2024-12-05 15:00:00,38267.0,31781.43322117032,31376.103661844147,6890.896338155853
2024-12-05 16:00:00,15662.0,13153.076490709762,10657.286207506637,5004.713792493363
2024-12-05 17:00:00,894.9999999999999,291.28520528280933,-2104.6020017484407,2999.6020017484407
2024-12-06 05:00:00,1817.0,1272.0484049203442,-352.0547444937183,2169.0547444937183
2024-12-06 06:00:00,17725.0,11240.215644831675,13242.781562800425,4482.218437199575
2024-12-06 07:00:00,37560.0,28753.025224305668,35064.47834930567,2495.5216506943325
2024-12-06 08:00:00,56500.0,47768.46557297277,53329.58471359777,3170.4152864022326
2024-12-06 09:00:00,82612.0,64426.6153427296,78771.83116304211,3840.1688369578915
2024-12-06 10:00:00,92105.0,76094.95873084871,90518.65013709871,1586.3498629012902
2024-12-06 11:00:00,95230.0,80779.34101825018,93255.91523700018,1974.084762999817
2024-12-06 12:00:00,88938.0,77530.99400704632,86039.58385079632,2898.41614920368
